year,urbanization_rate,construction_investment_trillion_yen,gdp_trillion_yen,housing_starts_10k,land_price_index_1983eq100,tertiary_share_pct,new_construction_trillion,maintenance_repair_trillion,urbanization_interpolated,ci_interpolated
1960,63.30,5.00,16.00,60.00,12.00,48.00,,,False,False
1961,64.22,6.00,19.38,63.33,14.60,48.40,,,True,True
1962,65.14,7.00,22.76,66.67,17.20,48.80,,,True,False
1963,66.06,8.00,26.14,70.00,19.80,49.20,,,True,True
1964,66.98,9.00,29.52,77.10,22.40,49.60,,,True,True
1965,67.90,10.00,32.90,84.20,25.00,50.00,,,False,False
1966,68.74,11.33,40.98,92.10,28.00,50.20,,,True,True
1967,69.58,12.67,49.06,100.00,31.00,50.40,,,True,True
1968,70.42,14.00,57.14,122.00,34.00,50.60,,,True,False
1969,71.26,16.00,65.22,140.00,37.00,50.80,,,True,True
1970,72.10,18.00,73.30,148.00,40.00,51.00,15.50,2.50,False,False
1971,72.82,20.00,88.30,160.00,50.00,51.80,17.40,3.00,True,True
1972,73.54,22.00,103.30,186.00,60.00,52.60,19.30,3.50,True,False
1973,74.26,25.00,118.30,191.00,70.00,53.40,21.20,4.00,True,False
1974,74.98,27.50,133.30,132.00,65.00,54.20,23.10,4.50,True,True
1975,75.70,30.00,148.30,136.00,60.00,55.00,25.00,5.00,False,False
1976,75.80,32.50,166.68,152.00,58.33,55.40,26.80,5.60,True,True
1977,75.90,35.00,185.06,150.00,56.67,55.80,28.60,6.20,True,False
1978,76.00,37.00,203.44,151.00,55.00,56.20,30.40,6.80,True,False
1979,76.10,39.50,221.82,149.00,60.00,56.60,32.20,7.40,True,True
1980,76.20,42.00,240.20,127.00,65.00,57.00,34.00,8.00,False,False
1981,76.30,43.00,257.24,115.00,76.67,57.20,34.60,8.40,True,True
1982,76.40,44.00,274.28,114.00,88.33,57.40,35.20,8.80,True,False
1983,76.50,45.00,291.32,113.00,100.00,57.60,35.80,9.20,True,True
1984,76.60,46.00,308.36,117.00,105.00,57.80,36.40,9.60,True,True
1985,76.70,47.00,325.40,124.00,110.00,58.00,37.00,10.00,False,False
1986,76.82,51.00,350.66,137.00,125.00,58.40,42.80,11.00,True,True
1987,76.94,55.00,375.92,173.00,140.00,58.80,48.60,12.00,True,False
1988,77.06,62.00,401.18,168.00,160.00,59.20,54.40,13.00,True,False
1989,77.18,72.00,426.44,167.00,180.00,59.60,60.20,14.00,True,False
1990,77.30,81.00,451.70,171.00,195.00,60.00,66.00,15.00,False,False
1991,77.46,84.00,469.40,137.00,200.00,60.60,68.00,16.00,True,False
1992,77.62,83.00,480.80,140.00,180.00,61.20,64.25,17.00,True,False
1993,77.78,81.00,483.70,149.00,155.00,61.80,60.50,18.00,True,False
1994,77.94,78.00,489.50,157.00,140.00,62.40,56.75,19.00,True,False
1995,78.10,73.00,501.70,147.00,128.00,63.00,53.00,20.00,False,False
1996,78.22,74.00,511.90,163.00,120.00,63.60,51.00,20.40,True,False
1997,78.34,72.00,521.70,135.00,115.00,64.20,49.00,20.80,True,False
1998,78.46,71.00,505.00,118.00,108.00,64.80,47.00,21.20,True,False
1999,78.58,68.00,497.60,121.00,100.00,65.40,45.00,21.60,True,False
2000,78.70,65.00,509.90,121.00,95.00,66.00,43.00,22.00,False,False
2001,80.16,61.00,505.50,117.00,88.00,66.60,40.00,22.40,True,False
2002,81.62,57.00,499.10,115.00,82.00,67.20,37.00,22.80,True,False
2003,83.08,54.00,503.20,117.00,77.00,67.80,34.00,23.20,True,False
2004,84.54,53.00,512.00,119.00,73.00,68.40,31.00,23.60,True,False
2005,86.00,52.00,524.10,124.00,70.00,69.00,28.00,24.00,False,False
2006,86.94,52.00,530.20,129.00,72.00,69.20,25.80,24.20,True,False
2007,87.88,50.00,536.10,106.00,74.00,69.40,23.60,24.40,True,False
2008,88.82,48.00,520.70,109.00,73.00,69.60,21.40,24.60,True,False
2009,89.76,45.00,489.50,79.00,68.00,69.80,19.20,24.80,True,False
2010,90.70,42.00,500.40,82.00,65.00,70.00,17.00,25.00,False,False
2011,90.84,43.00,494.90,84.00,63.00,70.20,18.67,25.33,True,False
2012,90.98,45.00,495.10,88.00,62.00,70.40,20.33,25.67,True,False
2013,91.12,48.00,507.20,98.00,61.00,70.60,22.00,26.00,True,False
2014,91.26,49.00,518.80,89.00,60.00,70.80,22.00,26.50,True,False
2015,91.40,49.00,538.00,92.00,61.00,71.00,22.00,27.00,False,False
2016,91.48,50.00,541.50,97.00,62.00,71.40,22.67,27.67,True,False
2017,91.56,52.00,553.10,95.00,63.00,71.80,23.33,28.33,True,False
2018,91.64,53.00,556.30,94.00,64.00,72.20,24.00,29.00,True,False
2019,91.72,55.00,558.00,91.00,66.00,72.60,24.00,30.00,True,False
2020,91.80,55.00,539.10,82.00,64.00,73.00,24.00,31.00,False,False
2021,91.83,58.00,550.60,87.00,64.00,73.33,26.33,32.67,True,False
2022,91.87,63.00,561.30,86.00,67.00,73.67,28.67,34.33,True,False
2023,91.90,67.00,591.50,82.00,70.00,74.00,31.00,36.00,False,False
