year,Q_V1K2_base,Q_V1K2_p5,Q_V1K2_p25,Q_V1K2_p50,Q_V1K2_p75,Q_V1K2_p95,Q_V1K1_base,Q_V1K1_p5,Q_V1K1_p25,Q_V1K1_p50,Q_V1K1_p75,Q_V1K1_p95
1998,1.7777,1.3979,1.6068,1.7790,1.9681,2.2548,4.9397,4.0893,4.5656,4.9310,5.3233,5.9030
1999,1.5512,1.2100,1.4008,1.5506,1.7155,1.9685,4.3656,3.6185,4.0501,4.3559,4.7034,5.2068
2000,1.4416,1.1304,1.3038,1.4393,1.5957,1.8309,4.0539,3.3665,3.7484,4.0593,4.3669,4.8403
2001,1.3255,1.0384,1.1933,1.3281,1.4654,1.6773,3.6758,3.0390,3.4034,3.6708,3.9620,4.3936
2002,1.2293,0.9661,1.1085,1.2287,1.3581,1.5566,3.3634,2.7897,3.1160,3.3546,3.6175,4.0037
2003,1.1568,0.9046,1.0451,1.1574,1.2776,1.4576,3.0965,2.5543,2.8712,3.1007,3.3302,3.6841
2004,1.2068,0.9462,1.0899,1.2083,1.3361,1.5410,3.1099,2.5756,2.8805,3.1122,3.3624,3.7176
2005,1.2559,0.9765,1.1384,1.2570,1.3863,1.5953,3.1254,2.5980,2.8939,3.1153,3.3741,3.7263
2006,1.2042,0.9452,1.0877,1.2065,1.3311,1.5277,2.9027,2.4138,2.6816,2.9041,3.1260,3.4594
2007,1.2716,1.0005,1.1487,1.2732,1.4080,1.6110,2.9552,2.4520,2.7387,2.9555,3.1893,3.5213
2008,1.1060,0.8673,0.9975,1.1023,1.2196,1.4000,2.5225,2.0882,2.3335,2.5170,2.7130,2.9898
2009,1.1860,0.9273,1.0694,1.1862,1.3129,1.5016,2.7435,2.2786,2.5385,2.7447,2.9538,3.2751
2010,1.1140,0.8710,1.0057,1.1102,1.2320,1.4135,2.5233,2.0830,2.3306,2.5181,2.7179,3.0134
2011,1.0525,0.8292,0.9512,1.0495,1.1628,1.3309,2.3302,1.9287,2.1590,2.3271,2.5062,2.7765
2012,1.0236,0.8021,0.9252,1.0243,1.1314,1.2940,2.2358,1.8543,2.0693,2.2362,2.4107,2.6646
2013,0.9869,0.7736,0.8937,0.9893,1.0932,1.2489,2.1266,1.7611,1.9706,2.1290,2.2947,2.5356
2014,0.8969,0.7018,0.8101,0.8968,0.9910,1.1344,1.9098,1.5793,1.7662,1.9088,2.0556,2.2773
2015,0.8877,0.6903,0.8022,0.8867,0.9824,1.1262,1.8883,1.5610,1.7489,1.8885,2.0403,2.2478
2016,0.8913,0.6996,0.8064,0.8922,0.9854,1.1269,1.8987,1.5750,1.7571,1.9022,2.0502,2.2665
2017,0.8590,0.6742,0.7767,0.8558,0.9504,1.0871,1.8349,1.5187,1.6943,1.8331,1.9793,2.1887
2018,0.8754,0.6865,0.7915,0.8738,0.9665,1.1084,1.8695,1.5547,1.7322,1.8707,2.0105,2.2177
2019,0.8538,0.6711,0.7702,0.8545,0.9467,1.0749,1.8214,1.5084,1.6876,1.8220,1.9634,2.1638
2020,0.8245,0.6473,0.7448,0.8254,0.9106,1.0461,1.7516,1.4576,1.6231,1.7485,1.8893,2.0867
2021,0.7836,0.6159,0.7096,0.7821,0.8659,0.9890,1.6605,1.3682,1.5395,1.6599,1.7896,1.9786
2022,0.6986,0.5502,0.6313,0.6975,0.7716,0.8807,1.4901,1.2304,1.3774,1.4890,1.6018,1.7778
2023,0.6413,0.5017,0.5804,0.6408,0.7067,0.8146,1.3877,1.1448,1.2866,1.3869,1.4939,1.6549
2024,0.5799,0.4554,0.5238,0.5804,0.6387,0.7337,1.2784,1.0593,1.1836,1.2773,1.3767,1.5238
