gap_gamma_ratio,paradox_probability
0.0,0.0
0.05,0.0
0.1,0.0
0.15000000000000002,0.003061224489795918
0.2,0.0005081300813008131
0.25,0.002031488065007618
0.30000000000000004,0.005055611729019211
0.35000000000000003,0.01116751269035533
0.4,0.03240506329113924
0.45,0.0700152207001522
0.5,0.1963470319634703
0.55,0.4192073170731707
0.6000000000000001,0.7060327198364008
0.65,0.8734177215189873
0.7000000000000001,0.935303107488538
0.75,0.9740853658536586
0.8,0.9832231825114387
0.8500000000000001,0.9903846153846154
0.9,0.9959328927300457
0.9500000000000001,0.9974593495934959
1.0,1.0
1.05,1.0
1.1,0.9994913530010173
1.1500000000000001,0.9989827060020345
1.2000000000000002,0.9989816700610998
1.25,1.0
1.3,1.0
1.35,0.999492385786802
1.4000000000000001,1.0
1.4500000000000002,1.0
1.5,1.0
1.55,1.0
1.6,1.0
1.6500000000000001,1.0
1.7000000000000002,1.0
1.75,1.0
1.8,1.0
1.85,1.0
1.9000000000000001,1.0
1.9500000000000002,1.0
2.0,1.0
2.0500000000000003,1.0
2.1,1.0
2.15,1.0
2.2,1.0
2.25,1.0
2.3000000000000003,1.0
2.35,1.0
2.4000000000000004,1.0
2.45,1.0
2.5,1.0
2.5500000000000003,1.0
2.6,1.0
2.6500000000000004,1.0
2.7,1.0
2.75,1.0
2.8000000000000003,1.0
2.85,1.0
2.9000000000000004,1.0
2.95,1.0
3.0,1.0
