country_code,country_name,income_group,gfcf_pct_gdp,cpr_annual_pct_change
BFA,Burkina Faso,Low income,19.360899541711838,-0.1708242223117938
CAF,Central African Republic,Low income,14.715741758612689,-2.1879310879098233
GIN,Guinea,Low income,23.619406649481782,2.19074053377719
GMB,"Gambia, The",Low income,17.218589367657344,-4.281652156371103
GNB,Guinea-Bissau,Low income,18.879093799256566,0.16233310529470646
MDG,Madagascar,Low income,23.416369447168186,1.165489227416495
MLI,Mali,Low income,22.25043684276098,1.3500819321758972
NER,Niger,Low income,27.12248939634464,-2.9706333859282026
RWA,Rwanda,Low income,21.33521986244428,0.5996247136263579
SDN,Sudan,Low income,17.41304151441436,-3.556186711109518
SLE,Sierra Leone,Low income,18.827120906847327,-3.956394193099936
TCD,Chad,Low income,21.494968318025624,-5.298306179827312
TGO,Togo,Low income,18.863093583955575,-0.743681132282072
TJK,Tajikistan,Low income,35.38579199603962,-16.73848267881326
TZA,Tanzania,Low income,33.89452799458819,0.2966016080843504
UGA,Uganda,Low income,24.643231145372887,-1.4250810150545659
BEN,Benin,Lower middle income,19.188489461242124,-1.6410410189258768
BGD,Bangladesh,Lower middle income,28.237900128573333,3.925845485825801
BTN,Bhutan,Lower middle income,55.3076103491172,-2.1346489115910763
CIV,Cote d'Ivoire,Lower middle income,19.279084565758563,-0.7788256022928433
CMR,Cameroon,Lower middle income,18.867066270222015,-0.6351957297194021
COG,"Congo, Rep.",Lower middle income,43.83170927784501,-3.6519136747849434
COM,Comoros,Lower middle income,15.666978876347667,-2.6549797117498666
EGY,"Egypt, Arab Rep.",Lower middle income,17.09048097461505,2.2018306083483457
GHA,Ghana,Lower middle income,19.93990754564097,-4.0583370394365526
HND,Honduras,Lower middle income,24.87198799141926,-0.26364304692729756
HTI,Haiti,Lower middle income,15.705310560128567,-3.012884201495886
IND,India,Lower middle income,31.74640697860694,-0.7427302184434625
IRN,"Iran, Islamic Rep.",Lower middle income,27.488876264138796,-2.6009576378072343
KEN,Kenya,Lower middle income,20.165934208644256,0.15548723163023245
KGZ,Kyrgyz Republic,Lower middle income,28.07039035760108,0.3985067724050902
KHM,Cambodia,Lower middle income,25.77934372591584,-0.8206823776389991
LAO,Lao PDR,Lower middle income,30.925654325144283,2.585056370377479
MAR,Morocco,Lower middle income,28.148150971892807,-2.1178307893664208
MRT,Mauritania,Lower middle income,34.48659576734443,-0.9457230525527626
NIC,Nicaragua,Lower middle income,24.947158099241214,-1.0553315842925823
NPL,Nepal,Lower middle income,25.213840938569106,-0.39570645296411266
PAK,Pakistan,Lower middle income,14.554250547500162,-1.7502903877370408
PHL,Philippines,Lower middle income,21.4484933070179,-0.1769648647153484
PSE,West Bank and Gaza,Lower middle income,21.99336780718298,2.77802767707329
SEN,Senegal,Lower middle income,22.644957186897873,-2.039711214018887
SYR,Syrian Arab Republic,Lower middle income,14.889796965911659,-2.2903368505693558
TUN,Tunisia,Lower middle income,22.228230732588916,-2.990492808887353
UKR,Ukraine,Lower middle income,18.497417612134765,-1.6922686538688676
UZB,Uzbekistan,Lower middle income,24.109439417405106,6.054738904917525
VEN,"Venezuela, RB",Lower middle income,17.239287098977933,-6.224992636381726
VNM,Viet Nam,Lower middle income,31.054369156953534,0.970534824684838
ZWE,Zimbabwe,Lower middle income,9.080192930783989,8.708477495267529
ALB,Albania,Upper middle income,30.40798265360795,-3.419730205736012
ARG,Argentina,Upper middle income,16.41709801061039,2.2183238160201926
ARM,Armenia,Upper middle income,28.884001535113004,0.3481596090963765
AZE,Azerbaijan,Upper middle income,24.155467448088675,-2.6871255598225483
BGR,Bulgaria,Upper middle income,22.910831812219605,1.827234096372749
BIH,Bosnia and Herzegovina,Upper middle income,23.66434760716442,-1.789392563517103
BLR,Belarus,Upper middle income,31.349968303875787,-3.517549471593439
BLZ,Belize,Upper middle income,16.36087147090366,0.7819093814392504
BOL,Bolivia,Upper middle income,18.799646130428172,0.9984129980464042
BRA,Brazil,Upper middle income,18.125469064485753,-3.047454212567138
BWA,Botswana,Upper middle income,26.42594013126244,1.735925301640703
CHN,China,Upper middle income,41.652491631078654,-0.044880166181032626
COL,Colombia,Upper middle income,22.065915853865167,-3.5295120198059893
DOM,Dominican Republic,Upper middle income,23.93442908514997,-1.6654259369657927
DZA,Algeria,Upper middle income,35.41974662284342,-3.5254509675904195
ECU,Ecuador,Upper middle income,20.098663233785068,-2.5764033944206157
GAB,Gabon,Upper middle income,26.298824552166856,-3.7813826346063255
GEO,Georgia,Upper middle income,22.858672851765615,-1.1604059116234016
GNQ,Equatorial Guinea,Upper middle income,29.523012835240273,-3.29975188489776
GTM,Guatemala,Upper middle income,15.866266695445967,0.10627924170423864
IDN,Indonesia,Upper middle income,30.215099682809747,-2.7604388299533587
IRQ,Iraq,Upper middle income,16.129716367418535,-0.8461714118628662
JOR,Jordan,Upper middle income,24.986776930363963,2.1507121754143346
KAZ,Kazakhstan,Upper middle income,24.45262534372182,-3.2490089084813394
LBN,Lebanon,Upper middle income,23.476820408365207,-0.7935578031860127
LKA,Sri Lanka,Upper middle income,27.121814172344024,3.5434548925779317
MDA,Moldova,Upper middle income,25.16056768823072,-3.6430989671778393
MEX,Mexico,Upper middle income,22.618966311133622,-3.3945368116103896
MKD,North Macedonia,Upper middle income,22.73408766036784,-0.4909447140446837
MNE,Montenegro,Upper middle income,24.817119079379577,-6.359047917300484
MNG,Mongolia,Upper middle income,31.428325238193676,1.5711741456205737
MUS,Mauritius,Upper middle income,20.697463744735916,-0.12219555326218531
MYS,Malaysia,Upper middle income,23.68177197272158,-0.7670338201563929
NAM,Namibia,Upper middle income,23.809707649242757,-0.8324665216855129
PER,Peru,Upper middle income,21.94563572301826,-0.5324066786754957
PRY,Paraguay,Upper middle income,19.380331104971102,-1.6191549953910658
RUS,Russian Federation,Upper middle income,21.029136697182015,-2.0975266505660337
SLV,El Salvador,Upper middle income,16.551757908647982,0.3252974662473323
SRB,Serbia,Upper middle income,19.13131753023944,-5.546656505183843
THA,Thailand,Upper middle income,24.876632525552285,0.04188364910810077
TKM,Turkmenistan,Upper middle income,36.638382120488345,-0.8707005667833851
TUR,Turkiye,Upper middle income,27.99406160190641,-4.121423970086758
ZAF,South Africa,Upper middle income,17.78649443210436,-2.9465294238466213
AUS,Australia,High income,26.366043437342984,-2.5662292513323743
AUT,Austria,High income,23.24401616766951,-2.37360596544227
BEL,Belgium,High income,23.0114224743916,-2.456729944167819
BHR,Bahrain,High income,27.513243895767914,-1.3739317410687817
BHS,"Bahamas, The",High income,27.356210241036845,1.0043582326684655
BRN,Brunei Darussalam,High income,28.683548945369647,-3.825652507257519
CAN,Canada,High income,23.2303622527703,-2.952937265525453
CHE,Switzerland,High income,26.42577447538073,-1.167785510644042
CHL,Chile,High income,24.21214505254739,-1.3607783782655378
CRI,Costa Rica,High income,19.75866711297858,1.1094612254862106
CYP,Cyprus,High income,19.72830035261034,-3.324834529999823
CZE,Czechia,High income,26.28499026012029,-5.00885695247426
DEU,Germany,High income,19.810593055296962,-2.192740961941151
DNK,Denmark,High income,20.61351772746458,-2.802873179909388
ESP,Spain,High income,22.113627477634697,-3.1189160769502755
EST,Estonia,High income,27.689616976045567,-2.458642998686323
FIN,Finland,High income,23.17379870389594,-2.195334366995725
FRA,France,High income,21.625312114518245,-3.2134447847636687
GBR,United Kingdom,High income,17.76885346456728,-3.141917880465735
GRC,Greece,High income,15.818603492294653,-3.216014133055671
HKG,"Hong Kong SAR, China",High income,21.947221492462415,-0.2889777229357161
HRV,Croatia,High income,21.89947134208061,-3.8873655814675665
HUN,Hungary,High income,22.345737329294515,-3.551088666992789
IRL,Ireland,High income,26.64215883757025,-3.0703707126453468
ISL,Iceland,High income,20.96195142636714,-2.2912606067230876
ISR,Israel,High income,22.47796115798502,-0.1921840026607174
ITA,Italy,High income,19.22046129208818,-2.470168867834656
JPN,Japan,High income,24.7472233162531,-1.9557574480666085
KOR,"Korea, Rep.",High income,30.232582476186458,-1.3899205793385305
LTU,Lithuania,High income,20.97777055107188,-4.616645821128659
LUX,Luxembourg,High income,18.271354684404013,-1.6074228822748073
LVA,Latvia,High income,26.019765423796322,-6.461130992578498
MAC,"Macao SAR, China",High income,20.6280507278154,1.5915354544169165
MLT,Malta,High income,20.03334874239996,-1.388327553215446
NLD,Netherlands,High income,20.173878198672675,-3.1284025675564866
NOR,Norway,High income,23.01795089659982,-3.7047193592904115
NZL,New Zealand,High income,22.413133085004382,-1.2078077564997962
OMN,Oman,High income,31.128174258632665,-2.7198556344095426
PAN,Panama,High income,32.917838301754834,0.7758934207782233
POL,Poland,High income,19.968964460426232,-3.59131147375096
PRT,Portugal,High income,18.793529438275755,-2.704185239632338
ROU,Romania,High income,26.159081807812544,-3.132022270086009
SAU,Saudi Arabia,High income,23.48417941788203,0.14685086979192757
SGP,Singapore,High income,25.60385641403388,0.003990390274552532
SVK,Slovak Republic,High income,23.101484382850533,-4.213071743441519
SVN,Slovenia,High income,22.11173918033302,-1.983829226299025
SWE,Sweden,High income,23.010517050444488,-2.930674631240251
SYC,Seychelles,High income,29.12716429351332,-3.237293467884266
TTO,Trinidad and Tobago,High income,21.582805986162118,-3.5791104032776975
URY,Uruguay,High income,18.566633486706465,-0.24042067701614944
USA,United States,High income,20.719328952409615,-1.3217108306235203
