year,Q_weighted,excess_K_100m_yuan,annual_excess_CO2_Mt,cumulative_excess_CO2_Mt,pct_of_china_total
2000,1.7334,0.0,0.0,0.0,0.0
2001,1.5902,0.0,0.0,0.0,0.0
2002,1.4727,0.0,0.0,0.0,0.0
2003,1.3787,0.0,0.0,0.0,0.0
2004,1.3835,3288.149700000009,21.37297305000006,21.37297305000006,0.45474410744680976
2005,1.4077,13463.386099999974,66.13903659999978,87.51200964999984,1.22479697407407
2006,1.3531,27047.4338,88.29631005000016,175.8083197,1.4965476279661045
2007,1.3943,40831.83110000001,89.59858245000008,265.40690215000006,1.4221997214285726
2008,1.244,68802.09089999998,181.8066886999998,447.21359084999983,2.797025979999997
2009,1.3032,111508.17440000002,277.58954275000025,724.8031336000001,4.0821991580882395
2010,1.2409,153406.2389,272.33741924999987,997.14055285,3.6311655899999984
2011,1.1843,203220.4573,323.7924196000001,1320.93297245,3.9974372790123467
2012,1.1512,266711.5871,412.6923437,1733.6253161500001,4.855204043529412
2013,1.1151,346734.24340000004,520.1472659500002,2253.7725821000004,5.844351302808992
2014,1.0348,449907.841,670.6283843999998,2924.4009665000003,7.451426493333331
2015,1.0205,557209.7983000001,697.4627224500009,3621.8636889500012,7.74958580500001
2016,1.019,686400.1159999999,839.7370650499986,4461.600754,9.227879835714269
2017,0.9958,821796.6835,880.0776887500008,5341.678442750001,9.463200954301083
2018,1.0063,978163.5745999999,1016.3847921499993,6358.0632349,10.587341584895826
2019,0.9899,1143082.4805,1071.9728883500009,7430.036123250001,10.828008973232333
2020,0.9673,1319454.2013,1146.4161852,8576.452308450002,11.464161852
2021,0.9363,1510235.5261,1240.078611199999,9816.53091965,11.589519730841111
2022,0.8716,1708310.5919,1287.4879277000016,11104.018847350002,11.81181585045873
2023,0.8297,1885761.1039999998,1153.4283286499979,12257.447176,10.029811553478241
2024,0.7848,2065251.2452,1166.6859178000013,13424.133093800001,10.057637222413804
