year,country,muq,gfcf_gdp_ratio,urban_pct
2006,China,0.368499,0.522527,44.343010
2007,China,0.300983,0.558347,45.889244
2008,China,0.252231,0.584163,46.989506
2009,China,0.216623,0.603654,48.341705
2010,China,0.190017,0.618890,49.234027
2011,China,0.188898,0.655335,51.830029
2012,China,0.163263,0.684213,53.100311
2013,China,0.144131,0.707659,54.490002
2014,China,0.129248,0.727074,55.750256
2015,China,0.117308,0.743368,57.329784
2016,China,0.136636,0.693985,58.839924
2017,China,0.133265,0.652173,60.240269
2018,China,0.128477,0.616499,61.500198
2019,China,0.124929,0.586379,62.709915
1956,Japan,0.480700,0.230089,
1957,Japan,0.404222,0.260754,
1958,Japan,0.173834,0.252859,
1959,Japan,0.390461,0.275695,
1960,Japan,0.494324,0.312961,63.258127
1961,Japan,0.514393,0.340474,64.272430
1962,Japan,0.367883,0.337398,65.233806
1963,Japan,0.446639,0.330149,66.144711
1964,Japan,0.385316,0.339009,67.020573
1965,Japan,0.332233,0.312714,67.877830
1966,Japan,0.465748,0.307688,68.717594
1967,Japan,0.507011,0.315399,69.527678
1968,Japan,0.469447,0.328017,70.316032
1969,Japan,0.475980,0.341042,71.092872
1970,Japan,0.449816,0.340198,71.862151
1971,Japan,0.270247,0.341218,72.708828
1972,Japan,0.498480,0.333075,73.678911
1973,Japan,0.662036,0.337581,74.631368
1974,Japan,0.413228,0.318801,75.410618
1975,Japan,0.222583,0.308172,75.851107
1976,Japan,0.385931,0.293615,75.971850
1977,Japan,0.351523,0.289842,76.033340
1978,Japan,0.307802,0.292301,76.076462
1979,Japan,0.276531,0.299621,76.117157
1980,Japan,0.320421,0.291478,76.172396
1981,Japan,0.249806,0.282446,76.250322
1982,Japan,0.173659,0.275645,76.347494
1983,Japan,0.183106,0.262448,76.457274
1984,Japan,0.233284,0.256009,76.574373
1985,Japan,0.256240,0.256761,76.693064
1986,Japan,0.189549,0.257030,76.813414
1987,Japan,0.213155,0.268271,76.940295
1988,Japan,0.264420,0.276591,77.072111
1989,Japan,0.243255,0.284154,77.206389
1990,Japan,0.252812,0.294237,77.340418
1991,Japan,0.156120,0.289429,77.474482
1992,Japan,0.036148,0.285543,77.610803
1993,Japan,0.010848,0.275901,77.748028
1994,Japan,0.024898,0.263789,77.884337
1995,Japan,0.059937,0.266973,78.019084
1996,Japan,0.217207,0.268678,78.137405
1997,Japan,-0.000483,0.256181,78.231890
1998,Japan,-0.011231,0.239513,78.326640
1999,Japan,-0.038532,0.234530,78.448342
2000,Japan,0.056759,0.232625,78.612680
2001,Japan,-0.107234,0.225391,79.157748
2002,Japan,-0.033614,0.216077,80.546986
2003,Japan,0.007594,0.211120,82.420678
2004,Japan,0.036877,0.213068,84.371054
2005,Japan,0.055044,0.215176,85.957362
2006,Japan,0.051518,0.216915,87.146090
2007,Japan,0.021726,0.210359,88.270140
2008,Japan,-0.216930,0.207298,89.292156
2009,Japan,-0.205071,0.196743,90.113116
2010,Japan,0.209774,0.208485,90.622859
2011,Japan,0.196142,0.219312,90.863165
2012,Japan,-0.010307,0.223348,91.026528
2013,Japan,0.114809,0.236081,91.151660
2014,Japan,0.042235,0.236774,91.254895
2015,Japan,0.161382,0.234889,91.353264
2016,Japan,0.029314,0.234120,91.454125
2017,Japan,0.105210,0.235203,91.549842
2018,Japan,0.031513,0.238616,91.637732
2019,Japan,-0.040705,0.242767,91.716421
2020,Japan,-0.154345,0.240411,91.780993
2021,Japan,0.148992,0.238919,91.874105
2022,Japan,0.125850,0.244848,91.977653
1986,Korea,0.492291,0.289001,66.577110
1987,Korea,0.513365,0.298001,68.562847
1988,Korea,0.497466,0.314000,70.587784
1989,Korea,0.275244,0.336000,72.466037
1990,Korea,0.426728,0.371000,73.985116
1991,Korea,0.357379,0.389000,75.160602
1992,Korea,0.213935,0.366000,76.196069
1993,Korea,0.213886,0.355000,77.108286
1994,Korea,0.291299,0.368000,77.858565
1995,Korea,0.841616,0.373000,78.400437
1996,Korea,0.222706,0.383412,78.750815
1997,Korea,0.167736,0.360000,78.991803
1998,Korea,-0.073584,0.250000,79.181237
1999,Korea,0.264737,0.291000,79.362339
2000,Korea,0.419816,0.310000,79.579961
2001,Korea,0.255024,0.293000,79.878770
2002,Korea,0.334665,0.291000,80.276629
2003,Korea,0.204402,0.299000,80.707794
2004,Korea,0.242871,0.301000,81.104387
2005,Korea,0.148999,0.297000,81.390135
2006,Korea,0.162666,0.296000,81.566462
2007,Korea,0.234336,0.294000,81.712126
2008,Korea,0.164084,0.293000,81.835083
2009,Korea,0.146824,0.263000,81.924505
2010,Korea,0.555286,0.292000,81.968508
2011,Korea,0.172408,0.295354,81.961541
2012,Korea,0.114097,0.287000,81.908790
2013,Korea,0.127457,0.289000,81.826938
2014,Korea,0.133124,0.291000,81.731568
2015,Korea,0.177574,0.288000,81.639490
2016,Korea,0.166605,0.293000,81.555924
2017,Korea,0.171106,0.309000,81.471030
2018,Korea,0.196908,0.301000,81.382352
2019,Korea,0.162869,0.292000,81.290106
2020,Korea,0.013506,0.304000,81.175960
2021,Korea,0.216818,0.313000,81.161653
2022,Korea,0.130785,0.318000,81.162494
