Country,Specification,DV,IV,beta,SE,p_value,R2,N,Units,Clustering
Japan,Pooled OLS,DeltaGDP/GDP,GFCF/GDP,0.6382,0.0150,0.0000,0.3544,3149,47 prefectures,HC1
Japan,Prefecture FE,DeltaGDP/GDP,GFCF/GDP,0.8129,0.0295,3.17e-30,0.4600,3149,47 prefectures,Prefecture cluster
Japan,Two-way FE,DeltaGDP/GDP,GFCF/GDP,0.0567,0.0265,3.75e-02,0.0052,3149,47 prefectures,Prefecture cluster
China (Province),Pooled OLS,DeltaGDP/GDP,FAI/GDP,0.0122,0.0113,2.82e-01,,434,31 provinces,HC1
China (Province),Province FE,DeltaV/GDP,FAI/GDP,-0.1639,0.0503,1.11e-03,,434,31 provinces,Province cluster
China (Province),Two-way FE,DeltaV/GDP,FAI/GDP,-0.0480,0.0503,3.40e-01,,434,31 provinces,Province cluster
China (City),Pooled OLS,DeltaV/GDP,FAI/GDP,-0.3669,0.1569,1.94e-02,0.0171,455,213 cities,HC1
China (City),City FE,DeltaV/GDP,FAI/GDP,0.5210,0.1022,3.44e-07,0.5646,455,213 cities,City cluster
China (City),Two-way FE,DeltaV/GDP,FAI/GDP,0.1560,0.2151,4.68e-01,0.6842,455,213 cities,City cluster
US,Pooled OLS,DeltaV/GDP,hu_growth,2.8097,0.1007,0.0000,0.0956,10760,921 MSAs,HC1
US,Two-way FE,DeltaV/GDP,hu_growth,2.7623,0.1282,5.62e-103,,10760,921 MSAs,MSA cluster
US,Pooled OLS,DeltaV/GDP,invest_intensity,1.3914,0.0781,5.45e-71,0.0789,10760,921 MSAs,HC1
US,Two-way FE,DeltaV/GDP,invest_intensity,1.6486,0.0898,2.90e-75,,10760,921 MSAs,MSA cluster
Korea,See unified panel,MUQ,ln(GDP_pc),,,,,592,17 regions,
